mouse_symbol,human_symbol
Gm25521,RNU6-210P
Ctps2,CTPS2
Sowahb,SOWAHB
Dthd1,DTHD1
B4galt6,B4GALT6
Spata46,SPATA46
Bad,BAD
Gm23623,RNU6-755P
Mboat2,MBOAT2
SLC9C2,SLC9C2
Fras1,FRAS1
Gm23448,RNU6-1271P
Gm23448,RNU6-1096P
Pcdhgc4,PCDHGC4
Mir181a-1,MIR181A1
Mir181b-1,MIR181B1
Lrrc15,LRRC15
Ppp2r5b,PPP2R5B
Fam162a,FAM162A
Mep1b,MEP1B
Sh3rf2,SH3RF2
Gm24623,RNU2-9P
Gk2,GK2
Cfap73,CFAP73
Ythdc2,YTHDC2
Pou3f3,POU3F3
Dlg1,DLG1
Nrde2,NRDE2
Gm24671,RNU1-129P
Gm24671,RNU1-154P
Gm24671,RNU1-65P
Gm24671,RNU1-114P
Gm24671,RNU1-151P
Lama3,LAMA3
Apol9a,APOL4
Apol9a,APOL2
Apol9a,APOL1
Apol9a,APOL3
Them6,THEM6
Ribc2,RIBC2
Atxn2,ATXN2
Mamdc2,MAMDC2
Plcxd3,PLCXD3
Trio,TRIO
Alkbh1,ALKBH1
Haus1,HAUS1
Atad1,ATAD1
Katnal2,KATNAL2
Ago2,AGO2
Mucl3,MUCL3
Syna,ERVFRD-1
Trappc6b,TRAPPC6B
Fam227a,FAM227A
Cldn3,CLDN3
Fzd9,FZD9
Trim50,TRIM50
Wdr45,WDR45
Grp,GRP
Gm22450,RNU6-477P
Gm22450,RNU6-715P
Catsperb,CATSPERB
Tmprss12,TMPRSS12
Gm56207,RNU12-2P
Chkb,CHKB
Mblac1,MBLAC1
Gm54903,RN7SKP46
Gm54903,7SK
Tulp4,TULP4
Syvn1,SYVN1
Trappc8,TRAPPC8
Foxl3,FOXL3
Gm56242,Metazoa_SRP
Gm56242,RN7SL670P
Gm56242,RN7SL405P
Cyp2w1,CYP2W1
Gm25784,RNU6-685P
Gm25784,RNU6-63P
Mir339,MIR339
Gm26285,RNU6-393P
Foxn3,FOXN3
Redic1,REDIC1
Gm4884,C2orf78
Cyp2d34,CYP2D6
Ppp1r2-ps6,PPP1R2
Ppp1r2-ps6,PPP1R2B
Ppp1r2-ps1,PPP1R2
Ppp1r2-ps1,PPP1R2B
Papolb,PAPOLB
Spmip11,SPMIP11
Dnajb7,DNAJB7
Gm23245,SNORA22B
Snora15,SNORA15B-1
Snora15,SNORA15
Snora15,SNORA15B-2
Fam135b,FAM135B
Zdhhc11,ZDHHC11B
Zdhhc11,ZDHHC11
Lrp5,LRP5
Drd5,DRD5
Gm22249,RNU4-5P
Recql4,RECQL4
Coq6,COQ6
Gm54927,SCARNA15
Muc3a,MUC3A
Ufsp1,UFSP1
Eml3,EML3
Zan,ZAN
H2ac23,H2AC8
H4c17,H4C16
H4c18,H4C15
Mgat3,MGAT3
Gm5478,KRT5
H4c9,H4C16
Gm22373,SNORD116-10
Parvg,PARVG
Snord64,SNORD64
Snord107,SNORD107
Snurf,SNURF
Pop7,POP7
Gigyf1,GIGYF1
Peg12,FRAT1
Zmat2,ZMAT2
Gm55005,RNU6-1065P
Gm55013,SNORA74D
Pcyox1l,PCYOX1L
Grxcr1,GRXCR1
Cyyr1,CYYR1
Or52n2,OR52N2
Hcar2,HCAR3
Hcar2,HCAR2
Washc5,WASHC5
Hcar1,HCAR1
Lgmn,LGMN
Or52n2b,OR52N2
Or52n2c,OR52N2
Or52n5,OR52N5
Tesmin,TESMIN
AW554918,KIAA1328
Mapk1,MAPK1
Or56a5,OR56A4
Or56a4,OR56A4
Oas1c,OAS1
Or52l1,OR52L1
Plekhs1,PLEKHS1
Oas1b,OAS1
Or56b34,OR56B4
Or56b35,OR56B4
Or52b2,OR52B2
Gm23921,Y_RNA
Gm23921,RNY1P14
Trpm6,TRPM6
Snx2,SNX2
Gzmk,GZMK
Ints5,INTS5
Gm55188,RNA5SP524
Pola2,POLA2
Nlrp9c,NLRP9
Dgcr2,DGCR2
Abhd1,ABHD1
Atp10d,ATP10D
Sult2a4,SULT2A1
Dusp9,DUSP9
Zhx2,ZHX2
Fntb,FNTB
Iqank1,IQANK1
Gm25091,SNORD102
Gm23202,SNORA27
Asb12,ASB12
Tcl1b2,TCL1B
Lhfpl7,LHFPL7
Lrrc14,LRRC14
Fam3a,FAM3A
Togaram1,TOGARAM1
Eno4,ENO4
Cdh2,CDH2
Mrgprd,MRGPRD
Hspb3,HSPB3
Fgfbp3,FGFBP3
Gm24701,RNU6-323P
Ccdc186,CCDC186
Cxcl13,CXCL13
Morc1,MORC1
Cyp2a12,CYP2A13
Cyp2a12,CYP2A6
Cyp2a12,CYP2A7
Pramel36,PRAMEF2
Pramel36,PRAMEF18
Pramel36,PRAMEF20
Pramel36,PRAMEF6
Pramel36,PRAMEF8
Pramel36,PRAMEF14
Pramel36,PRAMEF19
Pramel36,PRAMEF27
Pramel36,PRAMEF17
Pramel36,PRAMEF11
Pramel36,PRAMEF1
Pramel36,PRAMEF10
Pramel36,PRAMEF9
Pramel36,PRAMEF15
Pramel36,PRAMEF12
Pramel36,PRAMEF4
Pramel36,PRAMEF26
Pramel36,PRAMEF33
Pramel36,PRAMEF7
Pramel36,PRAMEF5
Pramel36,PRAMEF13
Pramel36,PRAMEF25
Pramel38,PRAMEF2
Pramel38,PRAMEF18
Pramel38,PRAMEF20
Pramel38,PRAMEF6
Pramel38,PRAMEF8
Pramel38,PRAMEF14
Pramel38,PRAMEF19
Pramel38,PRAMEF27
Pramel38,PRAMEF17
Pramel38,PRAMEF11
Pramel38,PRAMEF1
Pramel38,PRAMEF10
Pramel38,PRAMEF9
Pramel38,PRAMEF15
Pramel38,PRAMEF12
Pramel38,PRAMEF4
Pramel38,PRAMEF26
Pramel38,PRAMEF33
Pramel38,PRAMEF7
Pramel38,PRAMEF5
Pramel38,PRAMEF13
Pramel38,PRAMEF25
Pramel40,PRAMEF2
Pramel40,PRAMEF18
Pramel40,PRAMEF20
Pramel40,PRAMEF6
Pramel40,PRAMEF8
Pramel40,PRAMEF14
Pramel40,PRAMEF19
Pramel40,PRAMEF27
Pramel40,PRAMEF17
Pramel40,PRAMEF11
Pramel40,PRAMEF1
Pramel40,PRAMEF10
Pramel40,PRAMEF9
Pramel40,PRAMEF15
Pramel40,PRAMEF12
Pramel40,PRAMEF4
Pramel40,PRAMEF26
Pramel40,PRAMEF33
Pramel40,PRAMEF7
Pramel40,PRAMEF5
Pramel40,PRAMEF13
Pramel40,PRAMEF25
Pramel41,PRAMEF2
Pramel41,PRAMEF18
Pramel41,PRAMEF20
Pramel41,PRAMEF6
Pramel41,PRAMEF8
Pramel41,PRAMEF14
Pramel41,PRAMEF19
Pramel41,PRAMEF27
Pramel41,PRAMEF17
Pramel41,PRAMEF11
Pramel41,PRAMEF1
Pramel41,PRAMEF10
Pramel41,PRAMEF9
Pramel41,PRAMEF15
Pramel41,PRAMEF12
Pramel41,PRAMEF4
Pramel41,PRAMEF26
Pramel41,PRAMEF33
Pramel41,PRAMEF7
Pramel41,PRAMEF5
Pramel41,PRAMEF13
Pramel41,PRAMEF25
Fan1,FAN1
Pramel44,PRAMEF2
Pramel44,PRAMEF18
Pramel44,PRAMEF20
Pramel44,PRAMEF6
Pramel44,PRAMEF8
Pramel44,PRAMEF14
Pramel44,PRAMEF19
Pramel44,PRAMEF27
Pramel44,PRAMEF17
Pramel44,PRAMEF11
Pramel44,PRAMEF1
Pramel44,PRAMEF10
Pramel44,PRAMEF9
Pramel44,PRAMEF15
Pramel44,PRAMEF12
Pramel44,PRAMEF4
Pramel44,PRAMEF26
Pramel44,PRAMEF33
Pramel44,PRAMEF7
Pramel44,PRAMEF5
Pramel44,PRAMEF13
Pramel44,PRAMEF25
Pramel49,PRAMEF2
Pramel49,PRAMEF18
Pramel49,PRAMEF20
Pramel49,PRAMEF6
Pramel49,PRAMEF8
Pramel49,PRAMEF14
Pramel49,PRAMEF19
Pramel49,PRAMEF27
Pramel49,PRAMEF17
Pramel49,PRAMEF11
Pramel49,PRAMEF1
Pramel49,PRAMEF10
Pramel49,PRAMEF9
Pramel49,PRAMEF15
Pramel49,PRAMEF12
Pramel49,PRAMEF4
Pramel49,PRAMEF26
Pramel49,PRAMEF33
Pramel49,PRAMEF7
Pramel49,PRAMEF5
Pramel49,PRAMEF13
Pramel49,PRAMEF25
Pramel54,PRAMEF2
Pramel54,PRAMEF18
Pramel54,PRAMEF20
Pramel54,PRAMEF6
Pramel54,PRAMEF8
Pramel54,PRAMEF14
Pramel54,PRAMEF19
Pramel54,PRAMEF27
Pramel54,PRAMEF17
Pramel54,PRAMEF11
Pramel54,PRAMEF1
Pramel54,PRAMEF10
Pramel54,PRAMEF9
Pramel54,PRAMEF15
Pramel54,PRAMEF12
Pramel54,PRAMEF4
Pramel54,PRAMEF26
Pramel54,PRAMEF33
Pramel54,PRAMEF7
Pramel54,PRAMEF5
Pramel54,PRAMEF13
Pramel54,PRAMEF25
Pramel37,PRAMEF2
Pramel37,PRAMEF18
Pramel37,PRAMEF20
Pramel37,PRAMEF6
Pramel37,PRAMEF8
Pramel37,PRAMEF14
Pramel37,PRAMEF19
Pramel37,PRAMEF27
Pramel37,PRAMEF17
Pramel37,PRAMEF11
Pramel37,PRAMEF1
Pramel37,PRAMEF10
Pramel37,PRAMEF9
Pramel37,PRAMEF15
Pramel37,PRAMEF12
Pramel37,PRAMEF4
Pramel37,PRAMEF26
Pramel37,PRAMEF33
Pramel37,PRAMEF7
Pramel37,PRAMEF5
Pramel37,PRAMEF13
Pramel37,PRAMEF25
Shroom4,SHROOM4
Pramel53,PRAMEF2
Pramel53,PRAMEF18
Pramel53,PRAMEF20
Pramel53,PRAMEF6
Pramel53,PRAMEF8
Pramel53,PRAMEF14
Pramel53,PRAMEF19
Pramel53,PRAMEF27
Pramel53,PRAMEF17
Pramel53,PRAMEF11
Pramel53,PRAMEF1
Pramel53,PRAMEF10
Pramel53,PRAMEF9
Pramel53,PRAMEF15
Pramel53,PRAMEF12
Pramel53,PRAMEF4
Pramel53,PRAMEF26
Pramel53,PRAMEF33
Pramel53,PRAMEF7
Pramel53,PRAMEF5
Pramel53,PRAMEF13
Pramel53,PRAMEF25
Cystm1,CYSTM1
Pramel43,PRAMEF2
Pramel43,PRAMEF18
Pramel43,PRAMEF20
Pramel43,PRAMEF6
Pramel43,PRAMEF8
Pramel43,PRAMEF14
Pramel43,PRAMEF19
Pramel43,PRAMEF27
Pramel43,PRAMEF17
Pramel43,PRAMEF11
Pramel43,PRAMEF1
Pramel43,PRAMEF10
Pramel43,PRAMEF9
Pramel43,PRAMEF15
Pramel43,PRAMEF12
Pramel43,PRAMEF4
Pramel43,PRAMEF26
Pramel43,PRAMEF33
Pramel43,PRAMEF7
Pramel43,PRAMEF5
Pramel43,PRAMEF13
Pramel43,PRAMEF25
Pramel45,PRAMEF2
Pramel45,PRAMEF18
Pramel45,PRAMEF20
Pramel45,PRAMEF6
Pramel45,PRAMEF8
Pramel45,PRAMEF14
Pramel45,PRAMEF19
Pramel45,PRAMEF27
Pramel45,PRAMEF17
Pramel45,PRAMEF11
Pramel45,PRAMEF1
Pramel45,PRAMEF10
Pramel45,PRAMEF9
Pramel45,PRAMEF15
Pramel45,PRAMEF12
Pramel45,PRAMEF4
Pramel45,PRAMEF26
Pramel45,PRAMEF33
Pramel45,PRAMEF7
Pramel45,PRAMEF5
Pramel45,PRAMEF13
Pramel45,PRAMEF25
Sema5b,SEMA5B
Tut1,TUT1
Pramel60,PRAMEF2
Pramel60,PRAMEF18
Pramel60,PRAMEF20
Pramel60,PRAMEF6
Pramel60,PRAMEF8
Pramel60,PRAMEF14
Pramel60,PRAMEF19
Pramel60,PRAMEF27
Pramel60,PRAMEF17
Pramel60,PRAMEF11
Pramel60,PRAMEF1
Pramel60,PRAMEF10
Pramel60,PRAMEF9
Pramel60,PRAMEF15
Pramel60,PRAMEF12
Pramel60,PRAMEF4
Pramel60,PRAMEF26
Pramel60,PRAMEF33
Pramel60,PRAMEF7
Pramel60,PRAMEF5
Pramel60,PRAMEF13
Pramel60,PRAMEF25
Sat1,SAT1
Pramel46,PRAMEF2
Pramel46,PRAMEF18
Pramel46,PRAMEF20
Pramel46,PRAMEF6
Pramel46,PRAMEF8
Pramel46,PRAMEF14
Pramel46,PRAMEF19
Pramel46,PRAMEF27
Pramel46,PRAMEF17
Pramel46,PRAMEF11
Pramel46,PRAMEF1
Pramel46,PRAMEF10
Pramel46,PRAMEF9
Pramel46,PRAMEF15
Pramel46,PRAMEF12
Pramel46,PRAMEF4
Pramel46,PRAMEF26
Pramel46,PRAMEF33
Pramel46,PRAMEF7
Pramel46,PRAMEF5
Pramel46,PRAMEF13
Pramel46,PRAMEF25
Pramel47,PRAMEF2
Pramel47,PRAMEF18
Pramel47,PRAMEF20
Pramel47,PRAMEF6
Pramel47,PRAMEF8
Pramel47,PRAMEF14
Pramel47,PRAMEF19
Pramel47,PRAMEF27
Pramel47,PRAMEF17
Pramel47,PRAMEF11
Pramel47,PRAMEF1
Pramel47,PRAMEF10
Pramel47,PRAMEF9
Pramel47,PRAMEF15
Pramel47,PRAMEF12
Pramel47,PRAMEF4
Pramel47,PRAMEF26
Pramel47,PRAMEF33
Pramel47,PRAMEF7
Pramel47,PRAMEF5
Pramel47,PRAMEF13
Pramel47,PRAMEF25
Slc39a4,SLC39A4
Pramel50,PRAMEF2
Pramel50,PRAMEF18
Pramel50,PRAMEF20
Pramel50,PRAMEF6
Pramel50,PRAMEF8
Pramel50,PRAMEF14
Pramel50,PRAMEF19
Pramel50,PRAMEF27
Pramel50,PRAMEF17
Pramel50,PRAMEF11
Pramel50,PRAMEF1
Pramel50,PRAMEF10
Pramel50,PRAMEF9
Pramel50,PRAMEF15
Pramel50,PRAMEF12
Pramel50,PRAMEF4
Pramel50,PRAMEF26
Pramel50,PRAMEF33
Pramel50,PRAMEF7
Pramel50,PRAMEF5
Pramel50,PRAMEF13
Pramel50,PRAMEF25
Pramel55,PRAMEF2
Pramel55,PRAMEF18
Pramel55,PRAMEF20
Pramel55,PRAMEF6
Pramel55,PRAMEF8
Pramel55,PRAMEF14
Pramel55,PRAMEF19
Pramel55,PRAMEF27
Pramel55,PRAMEF17
Pramel55,PRAMEF11
Pramel55,PRAMEF1
Pramel55,PRAMEF10
Pramel55,PRAMEF9
Pramel55,PRAMEF15
Pramel55,PRAMEF12
Pramel55,PRAMEF4
Pramel55,PRAMEF26
Pramel55,PRAMEF33
Pramel55,PRAMEF7
Pramel55,PRAMEF5
Pramel55,PRAMEF13
Pramel55,PRAMEF25
Klk1b27,KLK1
Rasl11a,RASL11A
Bdkrb2,BDKRB2
Ctxnd1,CTXND1
Rab11fip2,RAB11FIP2
Esyt2,ESYT2
Zfp182,ZNF182
Dcstamp,DCSTAMP
Gm23042,RNU6-1034P
Grpr,GRPR
Magea6,MAGEA10
Gm56128,SNORA73
H2ac13,H2AC8
Nxf2,NXF2
Nxf2,NXF2B
H3c10,H3C1
H3c10,H3C7
1700034E13Rik,ZNF475
H2bc14,H2BC5
Ehbp1l1,EHBP1L1
Gm24311,RNU6-206P
Ocm,OCM2
Ocm,OCM
Egflam,EGFLAM
Ccdc62,CCDC62
Alcam,ALCAM
Pcdhga1,PCDHGA1
Or14a259,OR14A2
Malt1,MALT1
Or14a258,OR14A2
Or14c44,OR14C36
Or14n1,OR14C36
Or14c43,OR14C36
Or14c45,OR14C36
Nkx1-1,NKX1-1
Or14c41,OR14C36
Or14a256,OR14A2
Or14c40,OR14C36
Magt1,MAGT1
Or14c39,OR14C36
Dnaaf11,DNAAF11
Nfkbiz,NFKBIZ
Slc5a1,SLC5A1
Cers3,CERS3
Apol10b,APOL4
Apol10b,APOL2
Apol10b,APOL1
Apol10b,APOL3
Bgn,BGN
Tyr,TYR
Gm25525,RNU6-246P
Kdelr3,KDELR3
Mapre2,MAPRE2
Adgrf3,ADGRF3
Rabl2,RABL2A
Rabl2,RABL2B
Selenoi,SELENOI
Bdh1,BDH1
Or2ag12,OR2AG2
Or2ag1b,OR2AG2
Sntg2,SNTG2
Rps6ka3,RPS6KA3
Or2ag13,OR2AG2
Tmem267,TMEM267
Or2ag15,OR2AG2
Or2ag16,OR2AG2
Or2ag17,OR2AG2
Or2ag18,OR2AG2
Slc26a2,SLC26A2
Amtn,AMTN
Or10a2,OR10A5
Or10a2,OR10A2
Jchain,JCHAIN
Ltn1,LTN1
Or10a4,OR10A4
Or2d2b,OR2D2
Or2d2,OR2D2
Cul2,CUL2
Uba1,UBA1
Or2d36,OR2D3
Xrcc3,XRCC3
Dip2b,DIP2B
Rbmxl2,RBMXL3
Rbmxl2,RBMXL2
Ovch2,OVCH2
Zfp277,ZNF277
Or5p50,OR5P2
Or5p51,OR5P2
Gm56091,RNU6-518P
Ceacam5,PSG3
Ceacam5,PSG8
Ceacam5,CEACAM7
Ceacam5,PSG11
Ceacam5,PSG6
Ceacam5,PSG5
Ceacam5,CEACAM3
Ceacam5,CEACAM1
Ceacam5,PSG1
Ceacam5,PSG2
Ceacam5,PSG4
Ceacam5,PSG7
Ceacam5,CEACAM6
Ceacam5,CEACAM8
Ceacam5,PSG9
Ceacam5,CEACAM5
Exoc1l,EXOC1L
Smim11,SMIM11
Arl9,ARL9
Ceacam14,PSG3
Ceacam14,PSG8
Ceacam14,CEACAM7
Ceacam14,PSG11
Ceacam14,PSG6
Ceacam14,PSG5
Ceacam14,CEACAM3
Ceacam14,CEACAM1
Ceacam14,PSG1
Ceacam14,PSG2
Ceacam14,PSG4
Ceacam14,PSG7
Ceacam14,CEACAM6
Ceacam14,CEACAM8
Ceacam14,PSG9
Ceacam14,CEACAM5
Ceacam23,PSG3
Ceacam23,PSG8
Ceacam23,CEACAM7
Ceacam23,PSG11
Ceacam23,PSG6
Ceacam23,PSG5
Ceacam23,CEACAM3
Ceacam23,CEACAM1
Ceacam23,PSG1
Ceacam23,PSG2
Ceacam23,PSG4
Ceacam23,PSG7
Ceacam23,CEACAM6
Ceacam23,CEACAM8
Ceacam23,PSG9
Ceacam23,CEACAM5
Or5p60,OR5P2
Or5p61,OR5P2
Osr1,OSR1
Gm26079,SNORA49
Gm22583,RNU6-646P
Or5p62,OR5P2
Ceacam11,PSG3
Ceacam11,PSG8
Ceacam11,CEACAM7
Ceacam11,PSG11
Ceacam11,PSG6
Ceacam11,PSG5
Ceacam11,CEACAM3
Ceacam11,CEACAM1
Ceacam11,PSG1
Ceacam11,PSG2
Ceacam11,PSG4
Ceacam11,PSG7
Ceacam11,CEACAM6
Ceacam11,CEACAM8
Ceacam11,PSG9
Ceacam11,CEACAM5
Nde1,NDE1
Or5p63,OR5P2
Septin14,SEPTIN14
Ywhaq,YWHAQ
Or5p64,OR5P2
Soat2,SOAT2
Ceacam13,PSG3
Ceacam13,PSG8
Ceacam13,CEACAM7
Ceacam13,PSG11
Ceacam13,PSG6
Ceacam13,PSG5
Ceacam13,CEACAM3
Ceacam13,CEACAM1
Ceacam13,PSG1
Ceacam13,PSG2
Ceacam13,PSG4
Ceacam13,PSG7
Ceacam13,CEACAM6
Ceacam13,CEACAM8
Ceacam13,PSG9
Ceacam13,CEACAM5
Or5p66,OR5P2
Apol7a,APOL4
Apol7a,APOL2
Apol7a,APOL1
Apol7a,APOL3
Or5p67,OR5P2
Or5p68,OR5P2
Or5p69,OR5P2
Or5p70,OR5P2
Or5p72,OR5P2
Fam237b,FAM237B
Igfl3,IGFL4
Or5p78,OR5P2
Psapl1,PSAPL1
Or5p79,OR5P2
Or5p80,OR5P3
Psg28,PSG3
Psg28,PSG8
Psg28,CEACAM7
Psg28,PSG11
Psg28,PSG6
Psg28,PSG5
Psg28,CEACAM3
Psg28,CEACAM1
Psg28,PSG1
Psg28,PSG2
Psg28,PSG4
Psg28,PSG7
Psg28,CEACAM6
Psg28,CEACAM8
Psg28,PSG9
Psg28,CEACAM5
Efr3a,EFR3A
Psg26,PSG3
Psg26,PSG8
Psg26,CEACAM7
Psg26,PSG11
Psg26,PSG6
Psg26,PSG5
Psg26,CEACAM3
Psg26,CEACAM1
Psg26,PSG1
Psg26,PSG2
Psg26,PSG4
Psg26,PSG7
Psg26,CEACAM6
Psg26,CEACAM8
Psg26,PSG9
Psg26,CEACAM5
Angel1,ANGEL1
Or5p81,OR5P2
Ftl1-ps1,FTL
Psg25,PSG3
Psg25,PSG8
Psg25,CEACAM7
Psg25,PSG11
Psg25,PSG6
Psg25,PSG5
Psg25,CEACAM3
Psg25,CEACAM1
Psg25,PSG1
Psg25,PSG2
Psg25,PSG4
Psg25,PSG7
Psg25,CEACAM6
Psg25,CEACAM8
Psg25,PSG9
Psg25,CEACAM5
Ice1,ICE1
Gm26062,RNU6-563P
Gm26062,RNU6-502P
Or10a3m,OR10A3
Or10a3m,OR10A6
Rtp4,RTP4
Psg27,PSG3
Psg27,PSG8
Psg27,CEACAM7
Psg27,PSG11
Psg27,PSG6
Psg27,PSG5
Psg27,CEACAM3
Psg27,CEACAM1
Psg27,PSG1
Psg27,PSG2
Psg27,PSG4
Psg27,PSG7
Psg27,CEACAM6
Psg27,CEACAM8
Psg27,PSG9
Psg27,CEACAM5
Or10a48,OR10A3
Or10a48,OR10A6
Psg23,PSG3
Psg23,PSG8
Psg23,CEACAM7
Psg23,PSG11
Psg23,PSG6
Psg23,PSG5
Psg23,CEACAM3
Psg23,CEACAM1
Psg23,PSG1
Psg23,PSG2
Psg23,PSG4
Psg23,PSG7
Psg23,CEACAM6
Psg23,CEACAM8
Psg23,PSG9
Psg23,CEACAM5
Syne2,SYNE2
Csf2ra,CSF2RA
Or10a3b,OR10A3
Or10a3b,OR10A6
Zfp759,ZNF845
Ap2m1,AP2M1
Or10a49,OR10A3
Or10a49,OR10A6
Psg21,PSG3
Psg21,PSG8
Psg21,CEACAM7
Psg21,PSG11
Psg21,PSG6
Psg21,PSG5
Psg21,CEACAM3
Psg21,CEACAM1
Psg21,PSG1
Psg21,PSG2
Psg21,PSG4
Psg21,PSG7
Psg21,CEACAM6
Psg21,CEACAM8
Psg21,PSG9
Psg21,CEACAM5
Slc9a3,SLC9A3
Or10a3,OR10A3
Or10a3,OR10A6
Ms4a13,MS4A13
Or10a3n,OR10A3
Or10a3n,OR10A6
Pak1ip1,PAK1IP1
Psg17,PSG3
Psg17,PSG8
Psg17,CEACAM7
Psg17,PSG11
Psg17,PSG6
Psg17,PSG5
Psg17,CEACAM3
Psg17,CEACAM1
Psg17,PSG1
Psg17,PSG2
Psg17,PSG4
Psg17,PSG7
Psg17,CEACAM6
Psg17,CEACAM8
Psg17,PSG9
Psg17,CEACAM5
Gstp2,GSTP1
Chd2,CHD2
Ube2ql1,UBE2QL1
Ppp1r3c,PPP1R3C
Aopep,AOPEP
Fam204a,FAM204A
Paxbp1,PAXBP1
Gm26176,RNU6-16P
Zc4h2,ZC4H2
Gm25450,RNU6-10P
Nanos2,NANOS2
Rlim,RLIM
Irf2bp1,IRF2BP1
Gm55620,RN7SKP276
Snora3,SNORA3A
Gm24888,SNORA3C
Gm24888,SNORA3B
Meiosin,MEIOSIN
Agbl1,AGBL1
Ankdd1b,ANKDD1B
Spag6l,SPAG6
Atg4a,ATG4A
Lyset,LYSET
Traf3,TRAF3
Gm55748,RNA5SP536
Mir330,MIR330
Tmem171,TMEM171
Gm25134,RNU1-80P
Gm55765,RNU6-634P
Gm55765,RNU6-927P
Bach1,BACH1
Gm23100,RNU1-83P
Snora23,SNORA23
Susd3,SUSD3
Ofd1,OFD1
Cep97,CEP97
Tmed9,TMED9
Eif1ad14,EIF1AX
Pira1,LILRA4
Pira1,LILRA2
Pira1,LILRA6
Pira1,LILRB1
Pira1,LILRB3
Pira1,LILRB4
Pira1,LILRA1
Pira1,LILRB5
Pira1,LILRB2
Pira1,LILRA5
Ccdc89,CCDC89
Lvrn,LVRN
Ifit1bl2,IFIT1B
Capn12,CAPN12
Dmrt3,DMRT3
Fam81b,FAM81B
Adam17,ADAM17
Gm62087,MAGEB2
Tbc1d12,TBC1D12
Sap130,SAP130
Arsk,ARSK
Nkrf,NKRF
Enthd1,ENTHD1
Mir9-3,MIR9-3
Atp6ap2,ATP6AP2
Fam83h,FAM83H
Pi4k2a,PI4K2A
Cdh9,CDH9
Gm23262,SNORD97
Gm23345,RNU2-18P
Bmp6,BMP6
Tango2,TANGO2
Mesp1,MESP1
Mesp2,MESP2
Lpxn,LPXN
Kmt2d,KMT2D
Gm25684,RNU6-36P
Ceacam16,CEACAM16
Ss18,SS18
Idi1,IDI1
Hps1,HPS1
Cstf2,CSTF2
Ceacam20,CEACAM20
Fam217a,FAM217A
Mir708,MIR708
Ccdc65,DRC2
Fastkd3,FASTKD3
Gm55961,RNA5SP525
Gm22226,RNU6-891P
Endou,ENDOU
Cdc20b,CDC20B
Myh9,MYH9
Spata9,SPATA9
H3c4,H3C15
Gpld1,GPLD1
Slc10a1,SLC10A1
Setbp1,SETBP1
Srp19,SRP19
Glrx5,GLRX5
Snap29,SNAP29
Eva1c,EVA1C
Zfp36l1,ZFP36L1
Nckap5l,NCKAP5L
Ms4a3,MS4A3
Dnmt3a,DNMT3A
Grep1,GREP1
Cpsf7,CPSF7
Apol11b,APOL4
Apol11b,APOL2
Apol11b,APOL1
Apol11b,APOL3
Csnk1g3,CSNK1G3
Tnfrsf11b,TNFRSF11B
Rubcn,RUBCN
Gm34531,LY6L
Mfng,MFNG
Tceal6,TCEAL3
Tceal6,TCEAL5
Tceal6,TCEAL6
Prss22,PRSS22
Nlrp4e,NLRP4
Glra2,GLRA2
Rassf10,RASSF10
Galnt6,GALNT6
Ptprh,PTPRH
Serinc5,SERINC5
Taf9b,TAF9B
Pnpla1,PNPLA1
Lims2,LIMS2
Gm23887,RNU2-11P
Arhgef9,ARHGEF9
Nlrp4f,NLRP4
Gldc,GLDC
Foxred2,FOXRED2
Klhl24,KLHL24
Kcnk13,KCNK13
Pcdha8,PCDHA9
Pcdha8,PCDHA7
Arap3,ARAP3
Rasa1,RASA1
Tuba1c,TUBA1C
Serpina3i,SERPINA3
C9,C9
Spaca6,SPACA6
Casp7,CASP7
Ildr1,ILDR1
Ttc9,TTC9
Zcrb1,ZCRB1
Mir99b,MIR99B
Mirlet7e,MIRLET7E
Mir125a,MIR125A
Has1,HAS1
Atxn7l1,ATXN7L1
Fpr1,FPR1
Gm23847,RNU6-703P
Fpr-rs4,FPR2
Pla1a,PLA1A
Poll,POLL
Impa2,IMPA2
Casr,CASR
Plcxd2,PLCXD2
Snord14a,SNORD14
Snord14a,SNORD14B
Spice1,SPICE1
Slc39a9,SLC39A9
Tkfc,TKFC
Slitrk4,SLITRK4
Nsd1,NSD1
Gm56216,RNU6-419P
Brd8,BRD8
Dnajc22,DNAJC22
Nr0b1,NR0B1
Unc79,UNC79
Papss2,PAPSS2
Pnpla3,PNPLA3
Ifit3b,IFIT3
Usp25,USP25
Plgrkt,PLGRKT
Gm25201,RNU1-129P
Gm25201,RNU1-154P
Gm25201,RNU1-65P
Gm25201,RNU1-114P
Gm25201,RNU1-151P
Ccdc127,CCDC127
Gm54595,RN7SKP152
Ptp4a3,PTP4A3
Abt1,ABT1
Cenph,CENPH
Ppp2r5c,PPP2R5C
Tmem132a,TMEM132A
Rab3c,RAB3C
Nop16,NOP16
Brms1,BRMS1
Cyth4,CYTH4
Nol8,NOL8
Gsk3b,GSK3B
Gm25683,SNORA71
Igsf11,IGSF11
Aldh7a1,ALDH7A1
Slc9a6,SLC9A6
Robo2,ROBO2
Sptlc1,SPTLC1
Mfsd13a,SLC68A1
Exoc3l4,EXOC3L4
Myo10,MYO10
Tspyl2,TSPYL2
Gm26375,RNU6-147P
Dmac2l,DMAC2L
Slc38a9,SLC38A9
Ttc38,TTC38
